Address,Lat,Lon
146 TAMPINES AVE 5,1.3481278,103.9424423
245 TAMPINES ST 21,1.3534341,103.9466216
149 TAMPINES ST 12,1.3514083,103.9425423
148 TAMPINES AVE 5,1.3506063,103.9419985
120 LOR 2 TOA PAYOH,1.3391609,103.8454928
225 LOR 8 TOA PAYOH,1.339503,103.8558533
232 LOR 8 TOA PAYOH,1.3375528,103.8588086
115 LOR 1 TOA PAYOH,1.3407036,103.8445869
114 LOR 1 TOA PAYOH,1.3409248,103.8443152
113 LOR 1 TOA PAYOH,1.3412898,103.8444964
53 LOR 5 TOA PAYOH,1.3377393,103.8508373
100 LOR 1 TOA PAYOH,1.3395648,103.848502
98 LOR 1 TOA PAYOH,1.3391649,103.8484951
91 LOR 3 TOA PAYOH,1.3382729,103.8484816
2 LOR 7 TOA PAYOH,1.3402095,103.8473869
1 LOR 7 TOA PAYOH,1.3394079,103.8534644
166 LOR 1 TOA PAYOH,1.3339355,103.8433126
126 LOR 1 TOA PAYOH,1.3378453,103.8451304
128 LOR 1 TOA PAYOH,1.3379959,103.8444058
116 LOR 2 TOA PAYOH,1.3404772,103.8457645
30 LOR 5 TOA PAYOH,1.3335455,103.8546251
9 LOR 7 TOA PAYOH,1.3375586,103.8578168
23 TOA PAYOH EAST,1.3346015,103.856715
12 LOR 7 TOA PAYOH,1.3366634,103.8578384
13 LOR 7 TOA PAYOH,1.3362886,103.8589244
25 TOA PAYOH EAST,1.3335315,103.8569974
26 TOA PAYOH EAST,1.3329469,103.8568162
27 TOA PAYOH EAST,1.3323619,103.8567256
17 LOR 7 TOA PAYOH,1.3363898,103.8563633
85A LOR 4 TOA PAYOH,1.3363302,103.8492944
85B LOR 4 TOA PAYOH,1.3363082,103.8477195
159 LOR 1 TOA PAYOH,1.3306691,103.8455834
177 TOA PAYOH CTRL,1.3338996,103.8498394
163 LOR 1 TOA PAYOH,1.3320706,103.8440377
168 LOR 1 TOA PAYOH,1.3319248,103.8434952
169 LOR 1 TOA PAYOH,1.3316999,103.842588
173 LOR 1 TOA PAYOH,1.3300248,103.8425052
206 TOA PAYOH NTH,1.342248,103.8465571
134 POTONG PASIR AVE 3,1.3345026,103.8663286
142 POTONG PASIR AVE 3,1.3333312,103.8671429
139 POTONG PASIR AVE 3,1.3332642,103.8661489
101 POTONG PASIR AVE 1,1.3332085,103.8683714
102 POTONG PASIR AVE 1,1.3336834,103.8687748
106 POTONG PASIR AVE 1,1.3341951,103.8680431
107 POTONG PASIR AVE 1,1.3346386,103.8684039
120 POTONG PASIR AVE 1,1.3355108,103.8635061
95 LOR 4 TOA PAYOH,1.3388478,103.8490256
5 UPP ALJUNIED LANE,1.3337035,103.879825
59 LOR 5 TOA PAYOH,1.3366946,103.8518051
69 LOR 4 TOA PAYOH,1.3342033,103.8527218
73 LOR 4 TOA PAYOH,1.3342944,103.8517475
227 LOR 8 TOA PAYOH,1.3394619,103.8579017
193 LOR 4 TOA PAYOH,1.3315134,103.8512689
200 TOA PAYOH NTH,1.3413981,103.8511091
208 TOA PAYOH NTH,1.341957,103.845176
209 TOA PAYOH NTH,1.341845,103.8448174
15 JOO SENG RD,1.3353656,103.8798659
17 JOO SENG RD,1.3362485,103.8809156
117 POTONG PASIR AVE 1,1.3361317,103.8630671
14 JOO SENG RD,1.33583,103.879775
136 POTONG PASIR AVE 3,1.3340619,103.8666004
218 LOR 8 TOA PAYOH,1.3427656,103.8551856
15 MARSILING LANE,1.4419039,103.7781153
13 MARSILING LANE,1.4412792,103.7794549
12 MARSILING LANE,1.4410804,103.7792735
6 MARSILING DR,1.4419885,103.7763046
125 MARSILING RISE,1.4385182,103.779564
130 MARSILING RISE,1.4381562,103.7787491
2 MARSILING DR,1.4399866,103.7765895
1 MARSILING DR,1.4406299,103.7757377
213 MARSILING CRES,1.4464134,103.7718579
217 MARSILING CRES,1.4467942,103.7726658
212 MARSILING CRES,1.4462303,103.773
31 MARSILING DR,1.4430055,103.7720947
22 MARSILING DR,1.4421089,103.7746296
24 MARSILING DR,1.441578,103.772549
1A WOODLANDS CTR RD,1.4418028,103.7706914
203 MARSILING DR,1.4437353,103.7744338
204 MARSILING DR,1.444169,103.7739054
206 MARSILING DR,1.4453471,103.7733621
146 WOODLANDS ST 13,1.4360928,103.7740864
8 MARSILING DR,1.4413222,103.77721
29 MARSILING DR,1.4433806,103.7735753
25 MARSILING DR,1.441967,103.772454
205 MARSILING DR,1.4449435,103.7733169
104 WOODLANDS ST 13,1.4364506,103.7815558
171 WOODLANDS ST 11,1.4339862,103.7764856
165 WOODLANDS ST 13,1.432968,103.7749465
162 WOODLANDS ST 13,1.4329786,103.7732263
10 MARSILING DR,1.440805,103.777276
35 MARSILING DR,1.4449801,103.7716977
36 MARSILING DR,1.4453273,103.7723011
206 BT BATOK ST 21,1.3466907,103.7493662
207 BT BATOK ST 21,1.3462541,103.7493629
167 BT BATOK WEST AVE 8,1.3469315,103.7422669
139 BT BATOK WEST AVE 6,1.3512806,103.7441094
136 BT BATOK WEST AVE 6,1.3508789,103.7448952
